taxon,level,source_repo,source_detail,data_provenance,n_study_conditions_detected,candidate_compartment,note,contamination_flags,consortium_candidate
Acinetobacter junii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,5,uncertain,"environmental genus, some species opportunistic human pathogens",kitome_match(Salter2014:Gammaproteobacteria);nasa_cleanroom_match(Bashir2016),False
Cupriavidus metallidurans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,4,digester_or_nitrifying,"metabolically versatile, some species used industrially for bioplastic/waste processing",kitome_match(Salter2014:Betaproteobacteria),False
Bradyrhizobium viridifuturi,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,3,nitrifying_bioreactor,genuine diazotrophic rhizobial genus (real N2-fixing capability),kitome_match(Salter2014:Alphaproteobacteria),False
Ralstonia insidiosa,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,3,plant_host_risk,contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus,kitome_match(Salter2014:Betaproteobacteria),False
Neisseria subflava,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,3,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Rhodococcus fascians,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,plant_host_risk,R. fascians causes real fasciation disease in plants; crop risk,kitome_match(Salter2014:Actinobacteria),False
Delftia acidovorans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,uncertain,no genus-level literature read applied yet,kitome_match(Salter2014:Betaproteobacteria),False
Brevundimonas SGB99609,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,2,uncertain,no genus-level literature read applied yet,kitome_match(Salter2014:Alphaproteobacteria),False
Amycolatopsis acidicola,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Tepidimonas fonticaldi,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Dysgonamonadaceae bacterium,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Porphyromonas canoris,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Porphyromonas gulae,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Aquirufa antheringensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Moraxella osloensis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Spirosoma rigui,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
GGB43920 SGB61282,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Rothia mucilaginosa,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Actinomyces sp HMSC035G02,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Polynucleobacter sp MWH Aus1W21,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Streptococcus infantis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral/skin commensal; likely handling signal,kitome_match(Salter2014:Firmicutes);oral_commensal_match(Dewhirst2010),False
GGB2722,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Streptococcus parasanguinis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral/skin commensal; likely handling signal,kitome_match(Salter2014:Firmicutes);oral_commensal_match(Dewhirst2010),False
Veillonella rogosae,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Granulicatella SGB8255,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal,oral_commensal_match(Dewhirst2010),False
Candidatus Planktophila sulfonica,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Cupriavidus gilardii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,digester_or_nitrifying,"metabolically versatile, some species used industrially for bioplastic/waste processing",kitome_match(Salter2014:Betaproteobacteria),False
Burkholderia contaminans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,kitome_match(Salter2014:Betaproteobacteria),False
Elizabethkingia bruuniana,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
GGB31872 SGB65430,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Chryseobacterium sp RR2 3 20,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,kitome_match(Salter2014:Bacteroidetes),False
GGB46797 SGB64687,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Acinetobacter pittii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,"environmental genus, some species opportunistic human pathogens",kitome_match(Salter2014:Gammaproteobacteria);nasa_cleanroom_match(Bashir2016),False
Limnohabitans sp 103DPR2,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Actinobacteria bacterium IMCC25003,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Staphylococcus epidermidis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Flavobacterium chilense,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,kitome_match(Salter2014:Bacteroidetes),False
Asinibacterium sp OR53,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Meiothermus silvanus,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Malassezia restricta,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet,,True
Bacillus,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Massilia,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Methylobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Paenibacillus,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Sphingomonas,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Streptomyces,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Chryseobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.999",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Flavobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.998",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Variovorax,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.998",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Burkholderia,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.996",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Rhizobium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.996",illustrative_model,,nitrifying_bioreactor,"genuine diazotrophic rhizobial genus (real N2-fixing capability) -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Pantoea,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.627",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Acinetobacter,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,uncertain,"environmental genus, some species opportunistic human pathogens -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Cutibacterium,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,uncertain,"human skin commensal; likely handling/cleanroom signal, not a plant colonizer -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Staphylococcus,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Stenotrophomonas,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Enterobacter,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=0.999",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Pseudomonas,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=0.941",illustrative_model,,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Curtobacterium,genus,osdr-plant-microbiome,"guild_call=plant_pathogen, confidence=1.0",illustrative_model,,plant_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Ralstonia,genus,osdr-plant-microbiome,"guild_call=plant_pathogen, confidence=0.993",illustrative_model,,plant_host_risk,"contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table",,
Pleurotus ostreatus (cv. Harbor Blue P01),species,Myco_tissue_RNAseq,"real mycoponic ceramic-tube culture (Porterfield et al. 2026); real tissue RNA-seq; real GEM (PC9.15/BOM_ss5, gapfilled + medium-constrained)",real_gem,,fungal_crop_rotation,the only organism in this inventory with both a real physical BLSS-relevant culture system and a runnable metabolic model,,
