taxon,level,source_repo,source_detail,data_provenance,n_study_conditions_detected,candidate_compartment,note
GGB2722,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Streptococcus parasanguinis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral/skin commensal; likely handling signal
Veillonella rogosae,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Granulicatella SGB8255,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,human oral commensal; likely handling signal
Candidatus Planktophila sulfonica,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Neisseria_subflava,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Cupriavidus gilardii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,digester_or_nitrifying,"metabolically versatile, some species used industrially for bioplastic/waste processing"
Burkholderia contaminans,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Elizabethkingia bruuniana,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
GGB31872 SGB65430,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Chryseobacterium sp RR2 3 20,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
GGB46797 SGB64687,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Acinetobacter pittii,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,"environmental genus, some species opportunistic human pathogens"
Limnohabitans sp 103DPR2,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Actinobacteria bacterium IMCC25003,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Staphylococcus epidermidis,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Flavobacterium chilense,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Asinibacterium sp OR53,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Meiothermus silvanus,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Malassezia restricta,species,Microbiome_of_seedlings_in_space,"real MetaPhlAn taxonomic profiling, UpSet input across OSDR-37/120/522/OSD-217",real_sequencing,1,uncertain,no genus-level literature read applied yet
Bacillus,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Massilia,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Methylobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Paenibacillus,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Sphingomonas,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Streptomyces,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=1.0",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Chryseobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.999",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Flavobacterium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.998",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Variovorax,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.998",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Burkholderia,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.996",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Rhizobium,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.996",illustrative_model,,nitrifying_bioreactor,"genuine diazotrophic rhizobial genus (real N2-fixing capability) -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Pantoea,genus,osdr-plant-microbiome,"guild_call=beneficial, confidence=0.627",illustrative_model,,beneficial,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Acinetobacter,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,uncertain,"environmental genus, some species opportunistic human pathogens -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Cutibacterium,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,uncertain,"human skin commensal; likely handling/cleanroom signal, not a plant colonizer -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Staphylococcus,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Stenotrophomonas,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=1.0",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Enterobacter,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=0.999",illustrative_model,,human_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Pseudomonas,genus,osdr-plant-microbiome,"guild_call=human_pathogen, confidence=0.941",illustrative_model,,digester_or_nitrifying,"metabolically versatile genus; some species genuine plant-growth-promoters, others opportunists -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Curtobacterium,genus,osdr-plant-microbiome,"guild_call=plant_pathogen, confidence=1.0",illustrative_model,,plant_pathogen,"osdr-plant-microbiome guild-inference call -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Ralstonia,genus,osdr-plant-microbiome,"guild_call=plant_pathogen, confidence=0.993",illustrative_model,,plant_host_risk,"contains real phytopathogenic species; also a known ultrapure-water/lab contaminant genus -- PLACEHOLDER DATA, not yet a real ingested OSDR feature table"
Pleurotus ostreatus (cv. Harbor Blue P01),species,Myco_tissue_RNAseq,"real mycoponic ceramic-tube culture (Porterfield et al. 2026); real tissue RNA-seq; real GEM (PC9.15/BOM_ss5, gapfilled + medium-constrained)",real_gem,,fungal_crop_rotation,the only organism in this inventory with both a real physical BLSS-relevant culture system and a runnable metabolic model
